               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11339,            0.093778,            0.040216,          3.7538e-05,           0.0043745,           2.438e-05,          4.9649e-06,             0.10503,            0.088763,            0.039452,            0.070492,           0.0032787,           0.0032787
                   1,             0.10418,            0.099594,            0.037563,          0.00027344,           0.0054667,          0.00014975,          4.2677e-05,             0.10196,            0.087132,            0.038377,            0.040472,           0.0065922,           0.0065922
                   2,            0.094329,             0.10088,            0.030562,             0.66962,           0.0044971,          0.00078436,          0.00022237,             0.10294,             0.12045,            0.033311,            0.010432,           0.0098857,           0.0098857
                   3,            0.087261,            0.095614,            0.027718,             0.84532,            0.018998,           0.0083294,           0.0021614,            0.088405,             0.08972,            0.026757,             0.00991,             0.00991,             0.00991
                   4,            0.081588,            0.087531,            0.025538,             0.34945,           0.0097742,           0.0073513,           0.0019765,            0.090561,            0.099861,             0.02636,             0.00991,             0.00991,             0.00991
                   5,            0.073816,             0.07981,            0.024149,             0.52025,            0.024929,           0.0073215,           0.0025411,             0.09061,             0.11638,            0.027921,             0.00988,             0.00988,             0.00988
                   6,            0.068437,            0.073375,            0.022727,             0.77252,           0.0094071,           0.0094012,           0.0027379,            0.090792,            0.096968,            0.027621,             0.00985,             0.00985,             0.00985
                   7,            0.062482,            0.068184,            0.021365,             0.55101,            0.034335,            0.028772,            0.011032,            0.088359,             0.09944,             0.02657,             0.00982,             0.00982,             0.00982
                   8,            0.058909,            0.064949,            0.020489,             0.53218,             0.11075,            0.086228,            0.037667,             0.06889,            0.097508,             0.02275,             0.00979,             0.00979,             0.00979
                   9,            0.055481,            0.062172,            0.019401,             0.59179,             0.19389,             0.16925,            0.080522,            0.070972,            0.080283,            0.021455,             0.00976,             0.00976,             0.00976
                  10,            0.053395,             0.05925,             0.01859,             0.27926,            0.054916,            0.077644,            0.035499,            0.075171,             0.12178,            0.023474,             0.00973,             0.00973,             0.00973
                  11,            0.050522,            0.057324,            0.017908,             0.55152,             0.30841,             0.26408,             0.13356,            0.056732,            0.068657,             0.01849,              0.0097,              0.0097,              0.0097
                  12,            0.049061,            0.054723,            0.017237,             0.79135,              0.1151,             0.13113,            0.057865,            0.072017,            0.099983,            0.021626,             0.00967,             0.00967,             0.00967
                  13,            0.047916,            0.051509,            0.016878,             0.73928,             0.04221,            0.045557,             0.01727,            0.077764,             0.10941,            0.027145,             0.00964,             0.00964,             0.00964
                  14,            0.045939,            0.049673,            0.016229,             0.23403,             0.12452,            0.097718,            0.039924,            0.076015,             0.10929,            0.024767,             0.00961,             0.00961,             0.00961
                  15,            0.044128,            0.048567,            0.015609,             0.58711,             0.34431,             0.32841,             0.19093,            0.052275,            0.069214,            0.016663,             0.00958,             0.00958,             0.00958
                  16,            0.044911,            0.046519,            0.015313,             0.26689,             0.27628,             0.22594,             0.11423,             0.06027,            0.078817,             0.01943,             0.00955,             0.00955,             0.00955
                  17,            0.043051,            0.045402,            0.015069,             0.46942,              0.2481,             0.22873,             0.10594,            0.068001,            0.083627,            0.018879,             0.00952,             0.00952,             0.00952
                  18,            0.041923,             0.04365,            0.014569,              0.5095,             0.29846,             0.27562,             0.12123,            0.065408,            0.076561,            0.018798,             0.00949,             0.00949,             0.00949
                  19,            0.040205,            0.042769,            0.014175,            0.048055,            0.082276,             0.04472,             0.02027,             0.08677,             0.12564,            0.030794,             0.00946,             0.00946,             0.00946
                  20,            0.040155,            0.040812,            0.013913,             0.70357,             0.41562,             0.45654,             0.26535,             0.04613,            0.059992,             0.01431,             0.00943,             0.00943,             0.00943
                  21,            0.039736,            0.039646,            0.013634,             0.43747,             0.25233,             0.25003,             0.13446,            0.061325,             0.08716,            0.018895,              0.0094,              0.0094,              0.0094
                  22,            0.038369,            0.038983,            0.013477,              0.4496,              0.3696,             0.36929,             0.21179,            0.051968,            0.079753,            0.015473,             0.00937,             0.00937,             0.00937
                  23,            0.038599,            0.037646,            0.012918,             0.47287,             0.25731,             0.27463,             0.14139,            0.058589,            0.088934,            0.017001,             0.00934,             0.00934,             0.00934
                  24,            0.036729,            0.037033,            0.012637,             0.66132,              0.4126,             0.45813,             0.24857,            0.050377,            0.071769,            0.014769,             0.00931,             0.00931,             0.00931
                  25,            0.037526,            0.036454,             0.01223,             0.60213,             0.44915,             0.44653,             0.25609,            0.049744,            0.075551,            0.014489,             0.00928,             0.00928,             0.00928
                  26,             0.03649,             0.03567,            0.011993,             0.53189,             0.19493,             0.19306,            0.087561,            0.073723,            0.098399,            0.019809,             0.00925,             0.00925,             0.00925
                  27,             0.03653,            0.036221,            0.011756,             0.39558,             0.34699,             0.31953,             0.17585,            0.055346,            0.078126,            0.016072,             0.00922,             0.00922,             0.00922
                  28,            0.034569,             0.03458,            0.011429,             0.58785,             0.43973,             0.44927,             0.25859,            0.049564,             0.07172,            0.014209,             0.00919,             0.00919,             0.00919
                  29,            0.035861,            0.033966,            0.011263,             0.49062,             0.33654,             0.33483,             0.17706,            0.060209,            0.081967,            0.016132,             0.00916,             0.00916,             0.00916
                  30,             0.03474,            0.033058,             0.01067,             0.63714,             0.41974,              0.4501,             0.26932,            0.049323,            0.070151,            0.013863,             0.00913,             0.00913,             0.00913
                  31,            0.034192,            0.032556,            0.010853,             0.35627,             0.43885,             0.38843,             0.21609,            0.051507,             0.07696,            0.014385,              0.0091,              0.0091,              0.0091
                  32,             0.03347,            0.032005,            0.010524,             0.63252,             0.48244,             0.48078,             0.29009,            0.047498,            0.068842,            0.013174,             0.00907,             0.00907,             0.00907
