               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11365,            0.093452,            0.040296,          2.6276e-05,           0.0030621,            2.35e-05,          6.6595e-06,             0.10527,            0.088316,            0.039491,            0.070492,           0.0032787,           0.0032787
                   1,             0.10479,            0.098842,            0.037727,          0.00025632,           0.0051446,           0.0001459,          4.0027e-05,             0.10247,            0.084954,            0.038873,            0.040472,           0.0065922,           0.0065922
                   2,            0.095304,            0.099969,            0.030926,             0.83429,              0.0057,          0.00042792,          0.00012326,             0.10418,             0.19826,            0.036473,            0.010432,           0.0098857,           0.0098857
                   3,            0.087611,            0.096853,            0.027699,             0.17818,           0.0046806,           0.0027233,          0.00085184,            0.088844,             0.10429,            0.025904,             0.00991,             0.00991,             0.00991
                   4,            0.082409,            0.089172,            0.025634,             0.34721,           0.0062867,           0.0037855,           0.0012347,             0.10341,            0.088505,            0.030619,             0.00991,             0.00991,             0.00991
                   5,            0.076024,            0.080369,            0.024056,             0.60556,            0.049653,             0.01687,           0.0061589,            0.088803,             0.11757,            0.025201,             0.00988,             0.00988,             0.00988
                   6,            0.069108,            0.074938,            0.022642,             0.39766,            0.090077,            0.054344,            0.024512,            0.085687,            0.085313,            0.025126,             0.00985,             0.00985,             0.00985
                   7,            0.063798,            0.069577,            0.021224,             0.60062,            0.065698,            0.051447,            0.021135,            0.081417,            0.089931,            0.024827,             0.00982,             0.00982,             0.00982
                   8,            0.059723,            0.066165,            0.020134,             0.56599,            0.064375,            0.046559,            0.017093,            0.079311,            0.091105,            0.024622,             0.00979,             0.00979,             0.00979
                   9,             0.05687,            0.063202,             0.01899,             0.21107,             0.23053,              0.1825,            0.086927,            0.069204,             0.07634,            0.020844,             0.00976,             0.00976,             0.00976
                  10,            0.053921,             0.06012,            0.018076,             0.13988,             0.20903,             0.18102,            0.099098,            0.060828,            0.095479,            0.019211,             0.00973,             0.00973,             0.00973
