               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12036,            0.052817,                   0,           0.0013655,            0.018722,          0.00069849,          0.00016529,             0.11148,            0.045357,                   0,            0.070492,           0.0032787,           0.0032787
                   1,             0.11285,            0.046114,                   0,           0.0014815,            0.019824,          0.00076471,          0.00018565,             0.10973,            0.035172,                   0,            0.040472,           0.0065922,           0.0065922
                   2,             0.10151,             0.04348,                   0,            0.014426,            0.050661,           0.0046543,           0.0013318,             0.11345,             0.03765,                   0,            0.010432,           0.0098857,           0.0098857
                   3,             0.08635,             0.04161,                   0,             0.04202,             0.09196,             0.01506,           0.0046587,            0.094584,            0.049981,                   0,             0.00991,             0.00991,             0.00991
                   4,             0.07552,            0.041198,                   0,             0.42539,             0.13491,             0.14032,            0.040537,            0.074456,            0.061104,                   0,             0.00991,             0.00991,             0.00991
                   5,            0.067958,            0.038947,                   0,              0.4222,              0.4196,             0.33806,             0.11014,            0.068799,             0.04272,                   0,             0.00988,             0.00988,             0.00988
                   6,             0.06291,            0.036378,                   0,              0.5753,             0.45209,             0.46817,             0.16953,            0.064243,            0.047202,                   0,             0.00985,             0.00985,             0.00985
                   7,            0.058019,             0.03389,                   0,             0.91649,             0.15108,             0.18912,            0.076245,            0.062289,            0.093719,                   0,             0.00982,             0.00982,             0.00982
                   8,            0.054825,            0.031791,                   0,             0.11306,             0.11123,            0.049435,            0.017665,            0.093772,            0.046548,                   0,             0.00979,             0.00979,             0.00979
                   9,            0.051181,            0.030159,                   0,              0.6877,             0.53744,             0.57619,             0.27402,            0.058756,            0.048503,                   0,             0.00976,             0.00976,             0.00976
                  10,            0.047642,            0.028832,                   0,             0.57517,             0.42644,               0.432,              0.1929,            0.059355,            0.067954,                   0,             0.00973,             0.00973,             0.00973
                  11,            0.044982,            0.027601,                   0,             0.68361,             0.52643,              0.5776,             0.25631,            0.058025,            0.035608,                   0,              0.0097,              0.0097,              0.0097
                  12,            0.043487,            0.026002,                   0,             0.69264,             0.60518,             0.64398,             0.33898,            0.052436,            0.035767,                   0,             0.00967,             0.00967,             0.00967
                  13,            0.041168,            0.024463,                   0,             0.70442,             0.56002,             0.60817,             0.28329,            0.054145,            0.035658,                   0,             0.00964,             0.00964,             0.00964
                  14,            0.039478,            0.023525,                   0,             0.84658,             0.61784,             0.68444,             0.36623,            0.050791,            0.047952,                   0,             0.00961,             0.00961,             0.00961
                  15,            0.038685,            0.022253,                   0,             0.87847,              0.7054,             0.79988,             0.46661,            0.042883,            0.029608,                   0,             0.00958,             0.00958,             0.00958
                  16,            0.037267,            0.021275,                   0,             0.76725,             0.60448,             0.66736,             0.33859,            0.052562,            0.034144,                   0,             0.00955,             0.00955,             0.00955
                  17,            0.036721,            0.020607,                   0,             0.83423,             0.69548,             0.76346,             0.41202,            0.045688,            0.033071,                   0,             0.00952,             0.00952,             0.00952
